Name,Gender,Category,Nationality,Status,Birth Year,Death year,Age,Marriage,Education Level,Profession,Profession group,Olympics,Gold Metals,Active Player,Political,Forbes,Grammy,Grammy_num,Oscar,Big_four_attend,Service time,Industry time
Barbara Jordan,1,Politics,United States,1,1936,1996,60,0,C,,Congresswoman,0,0,0,Democrat,0,0,0,0,0,6,0
Rosa Parks,1,Politics,United States,1,1913,2005,92,1,U,,Civil Rights Activist,0,0,0,,0,0,0,0,0,0,0
Eleanor Roosevelt,1,Politics,United States,1,1884,1962,78,1,C,,First Lady,0,0,0,Democrat,0,0,0,0,0,12,0
Sarah Palin,1,Politics,United States,0,1964,2023,59,1,C,,Governor,0,0,0,Republican,0,0,0,0,0,10,0
Nancy Reagan,1,Politics,United States,1,1921,2016,95,1,C,,First Lady,0,0,0,Republican,0,0,0,0,0,8,0
Ilhan Omar,1,Politics,United States,0,1982,2023,41,1,G,,Congresswoman,0,0,0,Democrat,0,0,0,0,0,5,0
Amy Klobuchar,1,Politics,United States,0,1960,2023,63,1,G,,Senator,0,0,0,Democrat,0,0,0,0,0,16,0
Tulsi Gabbard,1,Politics,United States,0,1981,2023,42,1,G,,Congresswoman,0,0,0,Democrat,0,0,0,0,0,10,0
Susan Collins,1,Politics,United States,0,1952,2023,71,0,G,,Senator,0,0,0,Republican,0,0,0,0,0,25,0
Lisa Murkowski,1,Politics,United States,0,1957,2023,66,1,G,,Senator,0,0,0,Republican,0,0,0,0,0,19,0
Mary McLeod Bethune,1,Politics,United States,1,1875,1955,80,1,C,,Educator/Activist,0,0,0,,0,0,0,0,0,0,0
Helen Keller,1,Politics,United States,1,1880,1968,88,0,C,,Author/Activist,0,0,0,Socialist,0,0,0,0,0,0,0
Frances Perkins,1,Politics,United States,1,1880,1965,85,0,C,,Secretary of Labor,0,0,0,Democrat,0,0,0,0,0,12,0
Janet Napolitano,1,Politics,United States,0,1957,2023,66,0,G,,Secretary of Homeland Security,0,0,0,Democrat,0,0,0,0,0,17,0
Linda Sánchez,1,Politics,United States,0,1969,2023,54,0,C,,Congresswoman,0,0,0,Democrat,0,0,0,0,0,20,0
Linda McMahon,1,Politics,United States,0,1948,2023,75,1,C,,SBA Administrator,0,0,0,Republican,0,0,0,0,0,4,0
Helle Thorning-Schmidt,1,Politics,Denmark,0,1966,2023,57,1,G,,Prime Minister,0,0,0,Social Democrats,0,0,0,0,0,14,0
Ellen Johnson Sirleaf,1,Politics,Liberia,0,1938,2023,85,1,G,,President,0,0,0,Unity,0,0,0,0,0,12,0
Aung San Suu Kyi,1,Politics,Myanmar,0,1945,2023,78,1,C,,State Counsellor,0,0,0,National League for Democracy,0,0,0,0,0,10,0
Michelle Bachelet,1,Politics,Chile,0,1951,2023,72,1,C,,President,0,0,0,Socialist,0,0,0,0,0,9,0
Judy Smith,1,Politics,United States,0,1958,2023,65,0,G,,Crisis Manager,0,0,0,,0,0,0,0,0,0,0
Loretta Lynch,1,Politics,United States,0,1959,2023,64,0,G,,Attorney General,0,0,0,Democrat,0,0,0,0,0,2,0
Park Geun-hye,1,Politics,South Korea,0,1952,2023,71,0,G,,President,0,0,0,Saenuri/Conservative,0,0,0,0,0,20,0
Theresa May,1,Politics,United Kingdom,0,1956,2023,67,1,G,,Prime Minister,0,0,0,Conservative,0,0,0,0,0,22,0
Erna Solberg,1,Politics,Norway,0,1961,2023,62,1,C,,Prime Minister,0,0,0,Conservative,0,0,0,0,0,32,0
Beata Szydło,1,Politics,Poland,0,1963,2023,60,1,C,,Prime Minister,0,0,0,Law and Justice,0,0,0,0,0,6,0
Kamala Harris,1,Politics,United States,0,1964,2023,59,1,G,,Vice President,0,0,0,Democrat,0,0,0,0,0,12,0
Condoleezza Rice,1,Politics,United States,0,1954,2023,69,0,D,,Secretary of State,0,0,0,Republican,0,0,0,0,0,8,0
Jacinda Ardern,1,Politics,New Zealand,0,1980,2023,43,1,G,,Prime Minister,0,0,0,Labour,0,0,0,0,0,10,0
Madeleine Albright,1,Politics,United States,1,1937,2022,85,1,G,,Secretary of State,0,0,0,Democrat,0,0,0,0,0,8,0
Emmeline Pankhurst,1,Politics,United Kingdom,1,1858,1928,70,1,U,,Suffragette,0,0,0,Suffragette,0,0,0,0,0,0,0
Queen Elizabeth II,1,Politics,United Kingdom,0,1926,2023,97,1,U,,Queen,0,0,0,,0,0,0,0,0,70,0
Peng Liyuan,1,Politics,China,0,1962,2023,61,1,C,,First Lady,0,0,0,Communist,0,0,0,0,0,0,0
Margaret Thatcher,1,Politics,United Kingdom,1,1925,2013,88,1,C,,Prime Minister,0,0,0,Conservative,0,0,0,0,0,34,0
Liz Truss,1,Politics,United Kingdom,0,1975,2023,48,1,G,,Foreign Secretary,0,0,0,Conservative,0,0,0,0,0,10,0
Hattie Caraway,1,Politics,United States,1,1878,1950,72,1,C,,Senator,0,0,0,Democrat,0,0,0,0,0,14,0
Julia Gillard,1,Politics,Australia,0,1961,2023,62,0,C,,Prime Minister,0,0,0,Labour,0,0,0,0,0,15,0
Laura Chinchilla,1,Politics,Costa Rica,0,1959,2023,64,1,G,,President,0,0,0,PLN,0,0,0,0,0,4,0
Tarja Halonen,1,Politics,Finland,0,1943,2023,80,1,G,,President,0,0,0,Social Democrat,0,0,0,0,0,12,0
George Washington,0,Politics,United States,1,1732,1799,67,1,U,,President,0,0,0,,0,0,0,0,0,8,0
Abraham Lincoln,0,Politics,United States,1,1809,1865,56,1,H,,President,0,0,0,Republican,0,0,0,0,0,4,0
Thomas Jefferson,0,Politics,United States,1,1743,1826,83,1,C,,President,0,0,0,Republican,0,0,0,0,0,8,0
Franklin D. Roosevelt,0,Politics,United States,1,1882,1945,63,1,C,,President,0,0,0,Democrat,0,0,0,0,0,12,0
John F. Kennedy,0,Politics,United States,1,1917,1963,46,1,C,,President,0,0,0,Democrat,0,0,0,0,0,3,0
Ronald Reagan,0,Politics,United States,1,1911,2004,93,1,C,,President,0,0,0,Republican,0,0,0,0,0,8,0
Barack Obama,0,Politics,United States,0,1961,2023,62,1,G,,President,0,0,0,Democrat,0,0,0,0,0,8,0
Bill Clinton,0,Politics,United States,0,1946,2023,77,1,G,,President,0,0,0,Democrat,0,0,0,0,0,8,0
George W. Bush,0,Politics,United States,0,1946,2023,77,1,G,,President,0,0,0,Republican,0,0,0,0,0,8,0
Donald Trump,0,Politics,United States,0,1946,2023,77,1,C,,President,0,0,0,Republican,0,0,0,0,0,4,0
Joe Biden,0,Politics,United States,0,1942,2023,81,1,C,,President,0,0,0,Democrat,0,0,0,0,0,49,0
Benjamin Franklin,0,Politics,United States,1,1706,1790,84,1,U,,Founding Father,0,0,0,Federalist,0,0,0,0,0,0,0
Alexander Hamilton,0,Politics,United States,1,1755,1804,49,1,C,,Founding Father,0,0,0,Federalist,0,0,0,0,0,5,0
Andrew Jackson,0,Politics,United States,1,1767,1845,78,1,H,,President,0,0,0,Democrat,0,0,0,0,0,16,0
Theodore Roosevelt,0,Politics,United States,1,1858,1919,61,1,C,,President,0,0,0,Republican,0,0,0,0,0,8,0
John Adams,0,Politics,United States,1,1735,1826,91,1,C,,President,0,0,0,Federalist,0,0,0,0,0,34,0
Richard Nixon,0,Politics,United States,1,1913,1994,81,1,G,,President,0,0,0,Republican,0,0,0,0,0,30,0
Jimmy Carter,0,Politics,United States,0,1924,2023,99,1,C,,President,0,0,0,Democrat,0,0,0,0,0,14,0
Woodrow Wilson,0,Politics,United States,1,1856,1924,68,1,D,,President,0,0,0,Democrat,0,0,0,0,0,8,0
Ulysses S. Grant,0,Politics,United States,1,1822,1885,63,1,C,,President,0,0,0,Republican,0,0,0,0,0,8,0
Andrew Johnson,0,Politics,United States,1,1808,1875,67,1,U,,President,0,0,0,Democrat,0,0,0,0,0,47,0
Chester A. Arthur,0,Politics,United States,1,1829,1886,57,1,C,,President,0,0,0,Republican,0,0,0,0,0,18,0
Franklin Pierce,0,Politics,United States,1,1804,1869,65,1,C,,President,0,0,0,Democrat,0,0,0,0,0,19,0
Samuel Adams,0,Politics,United States,1,1722,1803,81,1,C,,Founding Father,0,0,0,Federalist,0,0,0,0,0,47,0
John Jay,0,Politics,United States,1,1745,1829,84,1,C,,Founding Father,0,0,0,Federalist,0,0,0,0,0,26,0
Henry Clay,0,Politics,United States,1,1777,1852,75,1,U,,Statesman,0,0,0,Whig,0,0,0,0,0,46,0
John C. Calhoun,0,Politics,United States,1,1782,1850,68,1,C,,Statesman,0,0,0,Democrat,0,0,0,0,0,40,0
Stephen A. Douglas,0,Politics,United States,1,1813,1861,48,1,U,,Statesman,0,0,0,Democrat,0,0,0,0,0,23,0
John Kerry,0,Politics,United States,0,1943,2023,80,1,G,,Secretary,0,0,0,Democrat,0,0,0,0,0,36,0
Al Gore,0,Politics,United States,0,1948,2023,75,1,C,,Vice President,0,0,0,Democrat,0,0,0,0,0,24,0
Bernie Sanders,0,Politics,United States,0,1941,2023,82,1,C,,Senator,0,0,0,Democrat-Socialist,0,0,0,0,0,41,0
Marco Rubio,0,Politics,United States,0,1971,2023,52,1,G,,Senator,0,0,0,Republican,0,0,0,0,0,23,0
Nelson Mandela,0,Politics,South Africa,1,1918,2013,95,1,G,,President,0,0,0,ANC,0,0,0,0,0,5,0
Mao Zedong,0,Politics,China,1,1893,1976,83,1,SS,,Chairman,0,0,0,Communist,0,0,0,0,0,27,0
Jiang Zemin,0,Politics,China,0,1926,2023,97,1,C,,President,0,0,0,Communist,0,0,0,0,0,13,0
Vladimir Putin,0,Politics,Russia,0,1952,2023,71,1,G,,President,0,0,0,United Russia,0,0,0,0,0,23,0
Benito Mussolini,0,Politics,Italy,1,1883,1945,62,1,H,,Dictator,0,0,0,Fascist,0,0,0,0,0,21,0
Winston Churchill,0,Politics,United Kingdom,1,1874,1965,91,1,H,,Prime Minister,0,0,0,Conservative,0,0,0,0,0,55,0
Nikita Khrushchev,0,Politics,Russia,1,1894,1971,77,1,SS,,Premier,0,0,0,Communist,0,0,0,0,0,19,0
Adolf Hitler,0,Politics,Germany,1,1889,1945,56,0,H,,Chancellor,0,0,0,Nazi,0,0,0,0,0,12,0
Genghis Khan,0,Politics,Mongolia,1,1162,1227,65,1,U,,Emperor,0,0,0,,0,0,0,0,0,0,0
David Cameron,0,Politics,United Kingdom,0,1966,2023,57,1,G,,Prime Minister,0,0,0,Conservative,0,0,0,0,0,15,0
Napoleon Bonaparte,0,Politics,France,1,1769,1821,52,1,C,,Emperor,0,0,0,,0,0,0,0,0,17,0
Jawaharlal Nehru,0,Politics,India,1,1889,1964,75,1,G,,Prime Minister,0,0,0,Indian National Congress,0,0,0,0,0,60,0
Vladimir Lenin,0,Politics,Russia,1,1870,1924,54,0,G,,Premier,0,0,0,Communist,0,0,0,0,0,7,0
Angela Merkel,0,Politics,Germany,0,1954,2023,69,0,D,,Chancellor,0,0,0,CDU,0,0,0,0,0,32,0
Xi Jinping,0,Politics,China,0,1953,2023,70,1,G,,President,0,0,0,Communist,0,0,0,0,0,26,0
Emmanuel Macron,0,Politics,France,0,1977,2023,46,1,G,,President,0,0,0,LREM,0,0,0,0,0,9,0
Justin Trudeau,0,Politics,Canada,0,1971,2023,52,1,G,,Prime Minister,0,0,0,Liberal,0,0,0,0,0,14,0
Boris Johnson,0,Politics,United Kingdom,0,1964,2023,59,1,G,,Prime Minister,0,0,0,Conservative,0,0,0,0,0,14,0
Shinzō Abe,0,Politics,Japan,0,1954,2023,69,1,G,,Prime Minister,0,0,0,LDP,0,0,0,0,0,24,0
Scott Morrison,0,Politics,Australia,0,1968,2023,55,1,C,,Prime Minister,0,0,0,Liberal,0,0,0,0,0,15,0
Jair Bolsonaro,0,Politics,Brazil,0,1955,2023,68,1,C,,President,0,0,0,NOVO,0,0,0,0,0,32,0
Kim Jong-un,0,Politics,North Korea,0,1984,2023,39,1,U,,Supreme Leader,0,0,0,Communist,0,0,0,0,0,12,0
Sandra Day O’Connor,1,Law,United States,0,1930,2023,93,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,24,0
Sonia Sotomayor,1,Law,United States,0,1954,2023,69,0,G,,Justice,0,0,0,Democrat,0,0,0,0,0,13,0
Elena Kagan,1,Law,United States,0,1960,2023,63,0,G,,Justice,0,0,0,Democrat,0,0,0,0,0,12,0
Janet Reno,1,Law,United States,1,1938,2016,78,0,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
Harriet Tubman,1,Law,United States,1,1822,1913,91,1,U,,Abolitionist,0,0,0,Republican,0,0,0,0,0,0,0
Sojourner Truth,1,Law,United States,1,1797,1883,86,1,U,,Abolitionist,0,0,0,,0,0,0,0,0,0,0
Dorothy Height,1,Law,United States,1,1912,2010,98,0,C,,Activist,0,0,0,Democrat,0,0,0,0,0,0,0
Coretta Scott King,1,Law,United States,1,1927,2006,79,1,C,,Activist,0,0,0,Democrat,0,0,0,0,0,0,0
Margaret Sanger,1,Law,United States,1,1879,1966,87,1,C,,Activist,0,0,0,Socialist,0,0,0,0,0,0,0
Betty Friedan,1,Law,United States,1,1921,2006,85,1,G,,Activist,0,0,0,Democrat,0,0,0,0,0,0,0
Gloria Steinem,1,Law,United States,0,1934,2023,89,1,G,,Journalist,0,0,0,Democrat,0,0,0,0,0,0,0
Angela Davis,1,Law,United States,0,1944,2023,79,0,G,,Activist,0,0,0,Communist,0,0,0,0,0,0,0
Bella Abzug,1,Law,United States,1,1920,1998,78,1,G,,Politician,0,0,0,Democrat,0,0,0,0,0,0,0
Florence Ellinwood Allen,1,Law,United States,1,1884,1966,82,0,G,,Justice,0,0,0,Democrat,0,0,0,0,0,32,0
Conchita Carpio-Morales,1,Law,Philippines,0,1941,2023,82,1,G,,Activist,0,0,0,,0,0,0,0,0,17,0
Cornelia Sorabji,1,Law,India,1,1866,1954,88,0,G,,Lawyer,0,0,0,,0,0,0,0,0,0,0
Margaret Marshall,1,Law,South Africa,0,1944,2023,79,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,16,0
Belva Lockwood,1,Law,United States,1,1830,1917,87,1,G,,Lawyer,0,0,0,,0,0,0,0,0,0,0
Maria Lourdes Sereno,1,Law,Philippines,0,1960,2023,63,1,G,,Justice,0,0,0,,0,0,0,0,0,7,0
Shirin Ebadi,1,Law,Iran,0,1947,2023,76,1,G,,Lawyer,0,0,0,,0,0,0,0,0,0,0
Mary Stallings Coleman,1,Law,United States,0,1949,2023,74,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,16,0
Charlotte E. Ray,1,Law,United States,1,1850,1911,61,1,G,,Lawyer,0,0,0,,0,0,0,0,0,0,0
Gloria Allred,1,Law,United States,0,1941,2023,82,1,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
Ruth Bader Ginsberg,1,Law,United States,1,1933,2020,87,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,27,0
Anita Hill,1,Law,United States,0,1956,2023,67,0,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
Marcia Clark,1,Law,United States,0,1953,2023,70,1,G,,Prosecutor,0,0,0,Democrat,0,0,0,0,0,0,0
John Marshall,0,Law,United States,1,1755,1835,80,1,G,,Justice,0,0,0,Federalist,0,0,0,0,0,34,0
Oliver Wendell Holmes Jr.,0,Law,United States,1,1841,1935,94,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,30,0
Earl Warren,0,Law,United States,1,1891,1974,83,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,16,0
Thurgood Marshall,0,Law,United States,1,1908,1993,85,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,24,0
John Roberts,0,Law,United States,0,1955,2023,68,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,17,0
Benjamin Cardozo,0,Law,United States,1,1870,1938,68,0,G,,Justice,0,0,0,Democrat,0,0,0,0,0,6,0
Louis Brandeis,0,Law,United States,1,1856,1941,85,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,23,0
Felix Frankfurter,0,Law,Austria,1,1882,1965,83,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,23,0
Warren Burger,0,Law,United States,1,1907,1995,88,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,17,0
William Brennan,0,Law,Ireland,1,1906,1997,91,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,34,0
Harry Blackmun,0,Law,United States,1,1908,1999,91,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,24,0
Anthony Kennedy,0,Law,United States,0,1936,2023,87,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,30,0
Byron White,0,Law,United States,1,1917,2002,85,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,31,0
Hugo Black,0,Law,United States,1,1886,1971,85,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,34,0
Potter Stewart,0,Law,United States,1,1915,1985,70,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,23,0
Lewis Powell,0,Law,United States,1,1907,1998,91,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,15,0
Roger B. Taney,0,Law,United States,1,1777,1864,87,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,28,0
Salmon P. Chase,0,Law,United States,1,1808,1873,65,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,9,0
Benjamin N. Cardozo,0,Law,United States,1,1870,1938,68,0,G,,Justice,0,0,0,Democrat,0,0,0,0,0,6,0
William O. Douglas,0,Law,United States,1,1898,1980,82,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,36,0
Charles Evans Hughes,0,Law,United States,1,1862,1948,86,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,11,0
John Rutledge,0,Law,United States,1,1739,1800,61,1,U,,Justice,0,0,0,Federalist,0,0,0,0,0,1,0
Samuel Chase,0,Law,United States,1,1741,1811,70,1,U,,Justice,0,0,0,Federalist,0,0,0,0,0,15,0
Joseph Story,0,Law,United States,1,1779,1845,66,1,G,,Justice,0,0,0,Federalist,0,0,0,0,0,34,0
William Paterson,0,Law,United States,1,1745,1806,61,1,G,,Justice,0,0,0,Federalist,0,0,0,0,0,13,0
Melville W. Fuller,0,Law,United States,1,1833,1910,77,1,G,,Justice,0,0,0,Democrat,0,0,0,0,0,22,0
Horace Gray,0,Law,United States,1,1828,1902,74,0,G,,Justice,0,0,0,Republican,0,0,0,0,0,20,0
William Henry Moody,0,Law,United States,1,1853,1917,64,0,G,,Justice,0,0,0,Republican,0,0,0,0,0,4,0
Benjamin R. Curtis,0,Law,United States,1,1809,1874,65,1,G,,Justice,0,0,0,Whig,0,0,0,0,0,6,0
David Davis,0,Law,United States,1,1815,1886,71,1,G,,Justice,0,0,0,Independent,0,0,0,0,0,14,0
Joseph Bradley,0,Law,United States,1,1813,1892,79,1,G,,Justice,0,0,0,Republican,0,0,0,0,0,23,0
Johnnie Cochran,0,Law,United States,1,1937,2005,68,1,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
Robert Shapiro,0,Law,United States,0,1942,2023,81,1,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
F. Lee Bailey,0,Law,United States,1,1933,2021,88,1,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
Shawn Chapman Holley,0,Law,United States,0,1966,2023,57,1,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
Alan Dershowitz,0,Law,United States,0,1938,2023,85,1,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
Robert Kardashian,0,Law,United States,1,1944,2003,59,1,G,,Lawyer,0,0,0,Democrat,0,0,0,0,0,0,0
Christopher Darden,0,Law,United States,0,1956,2023,67,1,G,,Prosecutor,0,0,0,Democrat,0,0,0,0,0,0,0
Deborah Sampson,1,Military,United States,1,1760,1827,67,1,H,,Army,0,0,0,,0,0,0,0,0,3,0
Joan of Arc,1,Military,France,1,1412,1431,19,0,U,,Army,0,0,0,,0,0,0,0,0,2,0
Molly Pitcher,1,Military,United States,1,1754,1832,78,1,U,,Army,0,0,0,,0,0,0,0,0,1,0
Nancy Wake,1,Military,New Zealand,1,1912,2011,99,1,H,,Army,0,0,0,,0,0,0,0,0,5,0
Lyudmila Pavlichenko,1,Military,Ukraine,1,1916,1974,58,1,H,,Army,0,0,0,,0,0,0,0,0,3,0
Hannah Szenes,1,Military,Hungary,1,1921,1944,23,0,C,,Army,0,0,0,,0,0,0,0,0,1,0
Jacqueline Cochran,1,Military,United States,1,1906,1980,74,1,SS,,Air Force,0,0,0,,0,0,0,0,0,5,0
Martha Raye,1,Military,United States,1,1916,1994,78,1,H,,Army,0,0,0,,0,0,0,0,0,23,0
Nancy Hart,1,Military,United States,1,1735,1830,95,1,U,,Confederate Army,0,0,0,,0,0,0,0,0,7,0
Grace Hopper,1,Military,United States,1,1906,1992,86,1,D,,Navy,0,0,0,,0,0,0,0,0,43,0
Linda Bray,1,Military,United States,0,1961,2023,62,0,C,,Army,0,0,0,,0,0,0,0,0,10,0
Mary Walker,1,Military,United States,1,1832,1919,87,1,D,,Army,0,0,0,,0,0,0,0,0,4,0
Michelle Howard,1,Military,United States,0,1960,2023,63,1,C,,Navy,0,0,0,,0,0,0,0,0,36,0
Ann Dunwoody,1,Military,United States,0,1953,2023,70,1,C,,Army,0,0,0,,0,0,0,0,0,37,0
Emily Perez,1,Military,United States,1,1983,2006,23,0,C,,Army,0,0,0,,0,0,0,0,0,2,0
Lori Robinson,1,Military,United States,0,1959,2023,64,1,C,,Air Force,0,0,0,,0,0,0,0,0,36,0
Janine Davidson,1,Military,United States,0,1963,2023,60,0,G,,Air Force,0,0,0,,0,0,0,0,0,28,0
Susan Helms,1,Military,United States,0,1958,2023,65,0,G,,Air Force,0,0,0,,0,0,0,0,0,30,0
Mary Jackson,1,Military,United States,1,1921,2005,84,1,C,,NASA,0,0,0,,0,0,0,0,0,0,0
Eileen Collins,1,Military,United States,0,1956,2023,67,1,G,,Air Force,0,0,0,,0,0,0,0,0,28,0
Sally Ride,1,Military,United States,1,1951,2012,61,0,D,,NASA,0,0,0,,0,0,0,0,0,0,0
Shoshana Johnson,1,Military,United States,0,1973,2023,50,1,H,,Army,0,0,0,,0,0,0,0,0,7,0
Rhonda Cornum,1,Military,United States,0,1954,2023,69,1,D,,Army,0,0,0,,0,0,0,0,0,38,0
Jeannie Leavitt,1,Military,United States,0,1967,2023,56,1,G,,Air Force,0,0,0,,0,0,0,0,0,31,0
Ellen Pawlikowski,1,Military,United States,0,1954,2023,69,0,D,,Air Force,0,0,0,,0,0,0,0,0,40,0
Heidi Berg,1,Military,United States,0,1960,2023,63,0,U,,Navy,0,0,0,,0,0,0,0,0,,0
Patricia Horoho,1,Military,United States,0,1960,2023,63,1,D,,Army,0,0,0,,0,0,0,0,0,33,0
Ann E. Rondeau,1,Military,United States,0,1950,2023,73,0,G,,Navy,0,0,0,,0,0,0,0,0,38,0
Diana Holland,1,Military,United States,0,1963,2023,60,0,C,,Army,0,0,0,,0,0,0,0,0,33,0
Lillian Dunlap,1,Military,United States,0,1961,2023,62,0,U,,Nurse Corps,0,0,0,,0,0,0,0,0,33,0
Anna Mae Hays,1,Military,United States,1,1920,2018,98,0,C,,Nurse Corps,0,0,0,,0,0,0,0,0,40,0
Mary Clarke,1,Military,United States,0,1959,2023,64,0,U,,Army,0,0,0,,0,0,0,0,0,36,0
Flora Darpino,1,Military,United States,0,1954,2023,69,0,D,,Army,0,0,0,,0,0,0,0,0,30,0
Dana Born,1,Military,United States,0,1960,2023,63,0,D,,Air Force,0,0,0,,0,0,0,0,0,30,0
Michelle Johnson,1,Military,United States,0,1966,2023,57,1,G,,Air Force,0,0,0,,0,0,0,0,0,36,0
Patricia Tracey,1,Military,United States,0,1963,2023,60,1,C,,Navy,0,0,0,,0,0,0,0,0,34,0
Lisa Jaster,1,Military,United States,0,1972,2023,51,1,G,,Reserve Army,0,0,0,,0,0,0,0,0,23,0
Douglas MacArthur,0,Military,United States,1,1880,1964,84,1,C,,Army,0,0,0,,0,0,0,0,0,52,0
George S. Patton,0,Military,United States,1,1885,1945,60,1,C,,Army,0,0,0,,0,0,0,0,0,36,0
Norman Schwarzkopf,0,Military,United States,1,1934,2012,78,1,C,,Army,0,0,0,,0,0,0,0,0,35,0
John J. Pershing,0,Military,United States,1,1860,1948,88,1,C,,Army,0,0,0,,0,0,0,0,0,64,0
Robert E. Lee,0,Military,United States,1,1807,1870,63,1,C,,Confederate Army,0,0,0,,0,0,0,0,0,32,0
William T. Sherman,0,Military,United States,1,1820,1891,71,1,C,,Army,0,0,0,,0,0,0,0,0,33,0
Stonewall Jackson,0,Military,United States,1,1824,1863,39,1,C,,Confederate Army,0,0,0,,0,0,0,0,0,12,0
Alexander the Great,0,Military,Macedonia,1,356,323,32,0,U,,Army,0,0,0,,0,0,0,0,0,12,0
Julius Caesar,0,Military,Rome,1,100,44,55,1,U,,Army,0,0,0,,0,0,0,0,0,30,0
Horatio Nelson,0,Military,United Kingdom,1,1758,1805,47,1,U,,Navy,0,0,0,,0,0,0,0,0,40,0
Arthur Wellesley,0,Military,Ireland,1,1769,1852,83,1,C,,Army,0,0,0,,0,0,0,0,0,60,0
Saladin,0,Military,Syria,1,1137,1193,56,0,U,,Army,0,0,0,,0,0,0,0,0,40,0
